gnn_type,zero_day_type,k,num_train_graphs,num_test_graphs,pos_weight,test_binary_f1,test_macro_f1,zero_day_accuracy,train_loss,seconds
GCN,clicker++trojan,0,5000,5300,0.250000,0.640331,0.503712,0.003333,0.210830,93.2
GCN,clicker++trojan,25,5025,5300,0.248447,0.716121,0.552348,0.076667,0.212850,96.1
GCN,clicker++trojan,50,5050,5300,0.246914,0.742650,0.567136,0.120000,0.212626,99.9
GCN,clicker++trojan,100,5100,5300,0.243902,0.685124,0.540137,0.093333,0.213666,80.6
GCN,clicker++trojan,175,5175,5300,0.239521,0.685772,0.540069,0.080000,0.213717,85.7
GCN,clicker++trojan,250,5250,5300,0.235294,0.645384,0.521521,0.116667,0.210783,88.2
GCN,clicker++trojan,350,5350,5300,0.229885,0.592557,0.499201,0.013333,0.208213,91.3
GCN,clicker++trojan,500,5500,5300,0.222222,0.532190,0.466912,0.010000,0.201074,96.0
GCN,clicker++trojan,700,5700,5300,0.212766,0.668468,0.553690,0.380000,0.197199,102.9
GIN,clicker++trojan,0,5000,5300,0.250000,0.411872,0.393801,0.000000,0.163719,73.2
GIN,clicker++trojan,25,5025,5300,0.248447,0.449177,0.417525,0.000000,0.168626,73.9
GIN,clicker++trojan,50,5050,5300,0.246914,0.372189,0.367895,0.000000,0.163602,75.5
GIN,clicker++trojan,100,5100,5300,0.243902,0.542628,0.475082,0.500000,0.157065,75.9
GIN,clicker++trojan,175,5175,5300,0.239521,0.577124,0.499723,0.716667,0.153555,75.5
GIN,clicker++trojan,250,5250,5300,0.235294,0.455597,0.420732,0.643333,0.165680,82.9
GIN,clicker++trojan,350,5350,5300,0.229885,0.501638,0.449610,0.193333,0.147844,82.1
GIN,clicker++trojan,500,5500,5300,0.222222,0.376806,0.373377,0.000000,0.141174,87.0
GIN,clicker++trojan,700,5700,5300,0.212766,0.542539,0.481492,0.993333,0.133626,93.4
