gnn_type,zero_day_type,k,num_train_graphs,num_test_graphs,pos_weight,test_binary_f1,test_macro_f1,zero_day_accuracy,train_loss,seconds
GCN,riskware,0,5000,5300,0.250000,0.664155,0.518665,0.713333,0.210526,76.4
GCN,riskware,25,5025,5300,0.248447,0.764960,0.579578,0.743333,0.210707,76.7
GCN,riskware,50,5050,5300,0.246914,0.724232,0.557637,0.716667,0.210533,77.0
GCN,riskware,100,5100,5300,0.243902,0.660588,0.526610,0.696667,0.210578,78.3
GCN,riskware,175,5175,5300,0.239521,0.712477,0.553248,0.756667,0.209310,80.6
GCN,riskware,250,5250,5300,0.235294,0.679191,0.537965,0.726667,0.209891,82.1
GCN,riskware,350,5350,5300,0.229885,0.652310,0.529069,0.740000,0.204289,84.3
GCN,riskware,500,5500,5300,0.222222,0.567519,0.486181,0.593333,0.198314,87.9
GCN,riskware,700,5700,5300,0.212766,0.717245,0.566377,0.846667,0.190918,93.0
GIN,riskware,0,5000,5300,0.250000,0.507975,0.453190,0.023333,0.158862,69.1
GIN,riskware,25,5025,5300,0.248447,0.475355,0.432411,0.020000,0.168786,69.6
GIN,riskware,50,5050,5300,0.246914,0.475157,0.430453,0.056667,0.168744,70.4
GIN,riskware,100,5100,5300,0.243902,0.544757,0.475595,0.190000,0.160952,71.4
GIN,riskware,175,5175,5300,0.239521,0.533199,0.469771,0.350000,0.157352,73.0
GIN,riskware,250,5250,5300,0.235294,0.569324,0.491743,0.473333,0.161017,75.1
GIN,riskware,350,5350,5300,0.229885,0.540677,0.477930,0.420000,0.154955,76.9
GIN,riskware,500,5500,5300,0.222222,0.571617,0.497581,0.780000,0.152252,80.6
GIN,riskware,700,5700,5300,0.212766,0.506299,0.455439,0.833333,0.142816,85.4
