gnn_type,zero_day_type,k,num_train_graphs,num_test_graphs,pos_weight,test_binary_f1,test_macro_f1,zero_day_accuracy,train_loss,seconds
GCN,spr,0,5000,5300,0.250000,0.647756,0.503617,0.000000,0.211139,76.3
GCN,spr,25,5025,5300,0.248447,0.719835,0.552075,0.000000,0.214378,77.1
GCN,spr,50,5050,5300,0.246914,0.728454,0.551513,0.000000,0.211349,77.5
GCN,spr,100,5100,5300,0.243902,0.697886,0.549337,0.000000,0.215990,79.0
GCN,spr,175,5175,5300,0.239521,0.784254,0.580384,0.000000,0.216794,81.1
GCN,spr,250,5250,5300,0.235294,0.650118,0.516082,0.000000,0.216600,83.7
GCN,spr,350,5350,5300,0.229885,0.767829,0.593624,0.000000,0.215121,86.6
GCN,spr,500,5500,5300,0.222222,0.554608,0.461425,0.000000,0.208657,90.8
GCN,spr,700,5700,5300,0.212766,0.848184,0.625581,1.000000,0.204996,97.3
GIN,spr,0,5000,5300,0.250000,0.365010,0.365848,0.000000,0.155407,69.3
GIN,spr,25,5025,5300,0.248447,0.399853,0.385119,0.000000,0.164603,69.9
GIN,spr,50,5050,5300,0.246914,0.513780,0.454264,0.000000,0.165132,70.6
GIN,spr,100,5100,5300,0.243902,0.565353,0.486599,0.000000,0.163142,72.5
GIN,spr,175,5175,5300,0.239521,0.548655,0.477473,0.000000,0.160169,74.3
GIN,spr,250,5250,5300,0.235294,0.514033,0.454432,0.000000,0.171553,76.8
GIN,spr,350,5350,5300,0.229885,0.509434,0.454927,0.000000,0.167106,80.2
GIN,spr,500,5500,5300,0.222222,0.474528,0.434747,0.000000,0.165431,84.4
GIN,spr,700,5700,5300,0.212766,0.480378,0.437041,0.000000,0.160064,91.1
GAT,spr,0,5000,5300,0.250000,0.526387,0.464559,0.000000,0.162296,284.6
GAT,spr,25,5025,5300,0.248447,0.476996,0.437402,0.000000,0.160408,288.4
GAT,spr,50,5050,5300,0.246914,0.487404,0.443743,0.000000,0.163987,291.5
GAT,spr,100,5100,5300,0.243902,0.515887,0.459376,0.000000,0.165779,298.7
GAT,spr,175,5175,5300,0.239521,0.484402,0.441629,0.000000,0.163847,309.2
GAT,spr,250,5250,5300,0.235294,0.518443,0.458925,0.000000,0.170183,320.1
GAT,spr,350,5350,5300,0.229885,0.493570,0.446125,0.000000,0.168483,334.2
GAT,spr,500,5500,5300,0.222222,0.541681,0.474904,1.000000,0.159723,355.5
GAT,spr,700,5700,5300,0.212766,0.373117,0.371695,0.000000,0.159715,384.2
GT,spr,0,5000,5300,0.250000,0.525187,0.467293,0.000000,0.132098,304.6
GT,spr,25,5025,5300,0.248447,0.446598,0.416777,0.000000,0.136348,312.5
GT,spr,50,5050,5300,0.246914,0.632036,0.530183,0.000000,0.140324,317.8
GT,spr,100,5100,5300,0.243902,0.586942,0.503807,0.000000,0.143661,314.1
GT,spr,175,5175,5300,0.239521,0.606523,0.516703,0.000000,0.136959,328.9
GT,spr,250,5250,5300,0.235294,0.565039,0.489866,0.000000,0.136827,335.4
GT,spr,350,5350,5300,0.229885,0.632298,0.531534,0.000000,0.136362,348.3
GT,spr,500,5500,5300,0.222222,0.648318,0.540908,1.000000,0.138210,365.7
GT,spr,700,5700,5300,0.212766,0.552854,0.479720,1.000000,0.128856,412.0
