gnn_type,zero_day_type,k,num_train_graphs,num_test_graphs,pos_weight,test_binary_f1,test_macro_f1,zero_day_accuracy,train_loss,seconds
GCN,spyware,0,5000,5300,0.250000,0.674319,0.524487,0.476667,0.210620,75.7
GCN,spyware,25,5025,5300,0.248447,0.704507,0.552539,0.456667,0.213029,75.9
GCN,spyware,50,5050,5300,0.246914,0.749633,0.573466,0.546667,0.210195,76.0
GCN,spyware,100,5100,5300,0.243902,0.659440,0.521610,0.446667,0.212405,76.9
GCN,spyware,175,5175,5300,0.239521,0.739752,0.566798,0.500000,0.213088,77.9
GCN,spyware,250,5250,5300,0.235294,0.811300,0.587243,0.563333,0.212358,79.4
GCN,spyware,350,5350,5300,0.229885,0.796445,0.586967,0.556667,0.211327,80.5
GCN,spyware,500,5500,5300,0.222222,0.714793,0.538020,0.520000,0.209915,82.2
GCN,spyware,700,5700,5300,0.212766,0.878071,0.606918,0.893333,0.204481,85.3
GIN,spyware,0,5000,5300,0.250000,0.497488,0.448247,0.086667,0.166851,69.3
GIN,spyware,25,5025,5300,0.248447,0.472124,0.432737,0.063333,0.164690,69.8
GIN,spyware,50,5050,5300,0.246914,0.509240,0.453106,0.106667,0.165671,69.6
GIN,spyware,100,5100,5300,0.243902,0.553149,0.479607,0.406667,0.161128,72.6
GIN,spyware,175,5175,5300,0.239521,0.471804,0.427517,0.463333,0.159002,73.4
GIN,spyware,250,5250,5300,0.235294,0.516261,0.457623,0.146667,0.165939,75.0
GIN,spyware,350,5350,5300,0.229885,0.531693,0.468288,0.173333,0.162233,77.9
GIN,spyware,500,5500,5300,0.222222,0.587665,0.504001,0.563333,0.163636,78.2
GIN,spyware,700,5700,5300,0.212766,0.552000,0.483826,0.553333,0.156409,84.3
