gnn_type,zero_day_type,k,num_train_graphs,num_test_graphs,pos_weight,test_binary_f1,test_macro_f1,zero_day_accuracy,train_loss,seconds
GCN,clicker++trojan,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000028,25.5
GCN,clicker++trojan,25,1425,900,56.000000,0.900302,0.921153,0.993333,0.514475,26.3
GCN,clicker++trojan,50,1450,900,28.000000,0.893871,0.915548,0.996667,0.443900,27.0
GCN,clicker++trojan,100,1500,900,14.000000,0.962602,0.971596,0.986667,0.348022,28.5
GCN,clicker++trojan,175,1575,900,8.000000,0.975450,0.981417,0.993333,0.300125,30.9
GCN,clicker++trojan,250,1650,900,5.600000,0.972268,0.978973,0.993333,0.250081,33.2
GCN,clicker++trojan,350,1750,900,4.000000,0.970684,0.977753,0.993333,0.233432,36.5
GCN,clicker++trojan,500,1900,900,2.800000,0.944708,0.957358,0.996667,0.164151,40.9
GCN,clicker++trojan,700,2100,900,2.000000,0.947702,0.959736,0.996667,0.181793,47.0
GIN,clicker++trojan,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000001,24.1
GIN,clicker++trojan,25,1425,900,56.000000,0.980066,0.985025,0.983333,0.127123,24.9
GIN,clicker++trojan,50,1450,900,28.000000,0.969178,0.977188,0.943333,0.064439,25.6
GIN,clicker++trojan,100,1500,900,14.000000,0.981387,0.986145,0.966667,0.024961,27.0
GIN,clicker++trojan,175,1575,900,8.000000,0.901460,0.929164,0.823333,0.152097,29.3
GIN,clicker++trojan,250,1650,900,5.600000,0.977929,0.983597,0.960000,0.062320,31.4
GIN,clicker++trojan,350,1750,900,4.000000,0.984772,0.988664,0.970000,0.049322,34.5
GIN,clicker++trojan,500,1900,900,2.800000,0.979661,0.984872,0.963333,0.035087,38.9
GIN,clicker++trojan,700,2100,900,2.000000,0.647191,0.765662,0.480000,0.041114,44.6
