gnn_type,zero_day_type,k,num_train_graphs,num_test_graphs,pos_weight,test_binary_f1,test_macro_f1,zero_day_accuracy,train_loss,seconds
GCN,spr,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000028,25.3
GCN,spr,25,1425,900,56.000000,0.860832,0.886445,1.000000,0.443463,26.1
GCN,spr,50,1450,900,28.000000,0.777202,0.804943,1.000000,0.474611,26.9
GCN,spr,100,1500,900,14.000000,0.898204,0.919066,1.000000,0.365560,28.3
GCN,spr,175,1575,900,8.000000,0.907716,0.927080,1.000000,0.373160,30.6
GCN,spr,250,1650,900,5.600000,0.878477,0.902086,1.000000,0.332999,33.3
GCN,spr,350,1750,900,4.000000,0.916031,0.933998,1.000000,0.291107,36.0
GCN,spr,500,1900,900,2.800000,0.918836,0.936314,1.000000,0.234686,40.6
GCN,spr,700,2100,900,2.000000,0.967742,0.975396,1.000000,0.187801,46.6
GIN,spr,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000002,24.0
GIN,spr,25,1425,900,56.000000,0.940439,0.953868,1.000000,0.413064,24.8
GIN,spr,50,1450,900,28.000000,0.911854,0.930533,1.000000,0.310764,25.6
GIN,spr,100,1500,900,14.000000,0.894188,0.915650,1.000000,0.310340,27.1
GIN,spr,175,1575,900,8.000000,0.874636,0.898718,1.000000,0.262481,29.5
GIN,spr,250,1650,900,5.600000,0.953895,0.964565,1.000000,0.166402,31.7
GIN,spr,350,1750,900,4.000000,0.966184,0.974186,1.000000,0.140500,35.0
GIN,spr,500,1900,900,2.800000,0.964630,0.972977,1.000000,0.123605,39.7
GIN,spr,700,2100,900,2.000000,0.946372,0.958606,1.000000,0.129239,45.7
