gnn_type,zero_day_type,k,num_train_graphs,num_test_graphs,pos_weight,test_binary_f1,test_macro_f1,zero_day_accuracy,train_loss,seconds
GCN,spyware,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000028,25.6
GCN,spyware,25,1425,900,56.000000,0.616760,0.618877,0.920000,0.834317,26.0
GCN,spyware,50,1450,900,28.000000,0.636569,0.642136,0.940000,1.078705,26.3
GCN,spyware,100,1500,900,14.000000,0.642117,0.654034,0.930000,0.919867,27.0
GCN,spyware,175,1575,900,8.000000,0.665845,0.695915,0.900000,0.864528,28.0
GCN,spyware,250,1650,900,5.600000,0.677582,0.711554,0.896667,0.816549,29.0
GCN,spyware,350,1750,900,4.000000,0.660377,0.678928,0.933333,0.766319,30.3
GCN,spyware,500,1900,900,2.800000,0.660773,0.658878,0.996667,0.698804,32.4
GCN,spyware,700,2100,900,2.000000,0.686003,0.719367,0.906667,0.628070,35.2
GIN,spyware,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000001,24.4
GIN,spyware,25,1425,900,56.000000,0.552311,0.588017,0.756667,0.990659,24.4
GIN,spyware,50,1450,900,28.000000,0.621067,0.680973,0.756667,0.948874,24.8
GIN,spyware,100,1500,900,14.000000,0.714689,0.764854,0.843333,0.888952,25.5
GIN,spyware,175,1575,900,8.000000,0.717647,0.803010,0.610000,0.808295,26.7
GIN,spyware,250,1650,900,5.600000,0.723056,0.766401,0.883333,0.690191,27.3
GIN,spyware,350,1750,900,4.000000,0.732075,0.810132,0.646667,0.621383,28.7
GIN,spyware,500,1900,900,2.800000,0.760563,0.825087,0.720000,0.562090,30.4
GIN,spyware,700,2100,900,2.000000,0.775895,0.841060,0.686667,0.465307,33.0
GAT,spyware,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000010,180.4
GAT,spyware,25,1425,900,56.000000,0.604839,0.663215,0.750000,0.893184,181.5
GAT,spyware,50,1450,900,28.000000,0.610408,0.678023,0.723333,1.035308,183.4
GAT,spyware,100,1500,900,14.000000,0.600306,0.686378,0.653333,1.012630,188.6
GAT,spyware,175,1575,900,8.000000,0.671855,0.712992,0.863333,0.816587,196.1
GAT,spyware,250,1650,900,5.600000,0.671177,0.721074,0.826667,0.792404,202.5
GAT,spyware,350,1750,900,4.000000,0.707407,0.791005,0.636667,0.721047,212.4
GAT,spyware,500,1900,900,2.800000,0.697318,0.786844,0.606667,0.655581,225.9
GAT,spyware,700,2100,900,2.000000,0.706223,0.761588,0.813333,0.582256,245.1
GT,spyware,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000010,203.7
GT,spyware,25,1425,900,56.000000,0.672269,0.755222,0.666667,0.634856,205.0
GT,spyware,50,1450,900,28.000000,0.664935,0.707225,0.853333,0.539532,201.2
GT,spyware,100,1500,900,14.000000,0.731219,0.798582,0.730000,0.642978,206.4
GT,spyware,175,1575,900,8.000000,0.763441,0.828580,0.710000,0.561467,221.2
GT,spyware,250,1650,900,5.600000,0.760148,0.828404,0.686667,0.607365,228.3
GT,spyware,350,1750,900,4.000000,0.775974,0.829710,0.796667,0.494435,233.5
GT,spyware,500,1900,900,2.800000,0.773212,0.821426,0.846667,0.486196,245.1
GT,spyware,700,2100,900,2.000000,0.790199,0.835379,0.860000,0.470993,271.5
